Alg,Circuit,DType,R_label,qubits,depth,time,init,final,samples,nodes,threads,paths,nzero_paths,estR,estI,varR,varI
BD_MIS_V,191,SP,1,3,10,190027,0,0,33554432,1,64,335544320,123182844,-2.94735581e-01,-1.86989993e-01,7.21929272e-09,6.21371843e-11
BD_MIS_V,191,SP,2,3,10,190202,0,0,33554432,1,128,335544320,123188106,-2.94834286e-01,-1.87214077e-01,3.37352972e-08,4.67428514e-08
BD_MIS_V,191,SP,2,3,10,179057,0,0,33554432,1,64,335544320,123182824,-2.94255197e-01,-1.86775550e-01,1.56354773e-07,4.94285501e-08
BD_MIS_V,191,SP,3,3,10,167687,0,0,33554432,1,64,335544320,123191782,-2.94883549e-01,-1.87211841e-01,5.42586918e-08,4.57813520e-08
BD_MIS_V,191,SP,1,3,10,1072246,0,0,33554432,1,64,335544320,123173830,-2.94515520e-01,-1.86898530e-01,1.82503683e-08,9.86963578e-09
BD_MIS_V,191,SP,2,3,10,1127174,0,0,33554432,1,48,335544320,123191658,-2.95115769e-01,-1.87105462e-01,2.16368846e-07,1.15748300e-08
BD_MIS_V,191,SP,1,3,10,50075760,0,0,33554432,1,1,335544320,123178361,-2.96495497e-01,-1.87363371e-01,3.40359315e-06,1.33587093e-07
BD_MIS_V,191,SP,1,3,10,3127440,0,0,2097152,1,1,20971520,7701129,-2.94930220e-01,-1.87176198e-01,7.81791698e-08,3.17988054e-08
BD_MIS_V,191,SP,1,3,10,3093831,0,0,2097152,1,2,20971520,7697431,-2.94492930e-01,-1.86907575e-01,2.48642706e-08,8.15427725e-09
BD_MIS_V,191,SP,1,3,10,3094905,0,0,2097152,1,2,20971520,7698869,-2.94505894e-01,-1.86932519e-01,2.09439008e-08,4.27147118e-09
BD_MIS_V,191,SP,1,3,10,1549130,0,0,2097152,1,2,20971520,7701089,-2.94686735e-01,-1.87088460e-01,1.30468436e-09,8.20548962e-09
BD_MIS_V,191,SP,1,3,10,261889,0,0,2097152,1,12,20971520,7692526,-2.94252604e-01,-1.86664686e-01,1.58411979e-07,1.11015552e-07
BD_MIS_V,191,SP,1,3,10,525688,0,0,4194304,1,12,41943040,15402995,-2.94966757e-01,-1.87159419e-01,9.99464191e-08,2.60962985e-08
BD_MIS_V,191,SP,1,3,10,692680,0,0,4194304,1,18,41943040,15397753,-2.94684827e-01,-1.87009782e-01,1.17053389e-09,1.41753498e-10
BD_MIS_V,191,SP,1,3,10,530845,0,0,4194304,1,24,41943040,15398715,-2.94779480e-01,-1.87023059e-01,1.66062506e-08,6.34181596e-10
BD_MIS_V,191,SP,1,3,10,567066,0,0,4194304,1,48,41943040,15399994,-2.94715106e-01,-1.87048823e-01,4.15924717e-09,2.59560395e-09
BD_MIS_V,191,SP,1,3,10,524353,0,0,4194304,1,12,41943040,15396266,-2.94561297e-01,-1.86907321e-01,7.97762656e-09,8.20009127e-09
BD_MIS_V,191,SP,1,3,10,527960,0,0,4194304,1,24,41943040,15402561,-2.94906169e-01,-1.87166035e-01,6.53083134e-08,2.82776522e-08
BD_MIS_V,191,SP,1,3,10,306203,0,0,4194304,2,24,41943040,15398694,-2.94744194e-01,-1.87002331e-01,8.75708395e-09,1.98510097e-11
BD_MIS_V,191,SP,1,3,10,215800,0,0,4194304,4,48,41943040,15391186,-2.94423074e-01,-1.86739728e-01,5.17747836e-08,6.66402400e-08
BD_MIS_V,191,SP,1,3,10,132706,0,0,4194304,4,12,41943040,15398911,-2.94492155e-01,-1.87008888e-01,2.51092374e-08,1.21263222e-10
BD_MIS_V,191,SP,1,3,10,106861,0,0,4194304,8,12,41943040,15394908,-2.94365883e-01,-1.86865419e-01,8.10719598e-08,1.75447035e-08
BD_MIS_V,191,SP,1,3,10,303211,0,0,16777216,8,12,167772160,61587296,-2.94655621e-01,-1.86980188e-01,2.50679477e-11,3.12853965e-10
BD_MIS_V,191,SP,1,3,10,522020,0,0,16777216,4,12,167772160,61576118,-2.94516027e-01,-1.86906412e-01,1.81137381e-08,8.36554026e-09
